var,year,month,exposure_days
wave,1993,10,0.0434972481377063
wave,1993,11,0.05224762833500639
wave,1993,12,0.1748226481412842
wave,1994,1,0.20398416866167696
wave,1994,2,0.13403811566605306
wave,1994,3,0.057950266860970795
wave,1994,4,0.05672921310794725
wave,1994,5,0.012732435145242643
wave,1994,6,0.03602781973747972
wave,1994,7,0.01121059740054889
wave,1994,8,0.032710096509412305
wave,1994,9,0.02875244708887704
wave,1994,10,0.030262895979995603
wave,1994,11,0.07710919471779694
wave,1994,12,0.22428889317889938
wave,1995,1,0.20692507971627275
wave,1995,2,0.0820639069602829
wave,1995,3,0.07886191714663215
wave,1995,4,0.032555436912538004
wave,1995,5,0.0062211365677461265
wave,1995,6,0.010127488319547615
wave,1995,7,0.028483395681838348
wave,1995,8,0.020475005555940118
wave,1995,9,0.045431787383887624
wave,1995,10,0.01675186142635413
wave,1995,11,0.041576028002463766
wave,1995,12,0.1453702446851105
wave,1996,1,0.2474554650265537
wave,1996,2,0.14560628374043047
wave,1996,3,0.044582829878861106
wave,1996,4,0.021760096640557308
wave,1996,5,0.005243022510421783
wave,1996,6,0.03569141397096061
wave,1996,7,0.03996510101519494
wave,1996,8,0.01173961039197613
wave,1996,9,0.04867023102443
wave,1996,10,0.04264161433336239
wave,1996,11,0.07641743354526918
wave,1996,12,0.10823297241645446
wave,1997,1,0.08406967890455071
wave,1997,2,0.18308255698880202
wave,1997,3,0.070347590971207
wave,1997,4,0.02337567242115454
wave,1997,5,0.00603939106979106
wave,1997,6,0.031114984874483147
wave,1997,7,0.024892637466888808
wave,1997,8,0.05716570545866563
wave,1997,9,0.04358955634721398
wave,1997,10,0.04391010337426758
wave,1997,11,0.15322346694241323
wave,1997,12,0.15928428565141098
wave,1998,1,0.24592138527070526
wave,1998,2,0.1596387781212477
wave,1998,3,0.04163095311620837
wave,1998,4,0.05572766992951962
wave,1998,5,0.016123309392339247
wave,1998,6,0.012388761280424425
wave,1998,7,0.005099862512256733
wave,1998,8,0.011646707786695618
wave,1998,9,0.02084261627416316
wave,1998,10,0.04167626164787351
wave,1998,11,0.10031754159324632
wave,1998,12,0.24879366193979754
wave,1999,1,0.132665649060965
wave,1999,2,0.11230923934903715
wave,1999,3,0.09807514950557766
wave,1999,4,0.023675876832012034
wave,1999,5,0.0060807864652038185
wave,1999,6,0.00463941415882357
wave,1999,7,0.011265198159044426
wave,1999,8,0.013918267566789686
wave,1999,9,0.023797269755009072
wave,1999,10,0.07129125245620677
wave,1999,11,0.058875579055340785
wave,1999,12,0.1733937563760065
wave,2000,1,0.11499462922709568
wave,2000,2,0.12380996729326771
wave,2000,3,0.07526763226600357
wave,2000,4,0.02390714027218633
wave,2000,5,0.004090259308641702
wave,2000,6,0.00558965122658858
wave,2000,7,0.030740606204921195
wave,2000,8,0.016277265093030117
wave,2000,9,0.047440619423403114
wave,2000,10,0.06214425387474613
wave,2000,11,0.11379042609512117
wave,2000,12,0.20253226843566113
wave,2001,1,0.20652192313406434
wave,2001,2,0.08997543595393462
wave,2001,3,0.06345453753052006
wave,2001,4,0.03810993371569948
wave,2001,5,0.018732007787065238
wave,2001,6,0.003186752894309245
wave,2001,7,0.029188655479072362
wave,2001,8,0.02663171585647094
wave,2001,9,0.02523371147242491
wave,2001,10,0.03688722763805606
wave,2001,11,0.08152159908631239
wave,2001,12,0.09995611890134962
wave,2002,1,0.22876502804150406
wave,2002,2,0.12604603027839228
wave,2002,3,0.038221248615800535
wave,2002,4,0.015004029396030325
wave,2002,5,0.018322784735270534
wave,2002,6,0.01639577628725266
wave,2002,7,0.04632988109926494
wave,2002,8,0.033790681322204454
wave,2002,9,0.039623927752010256
wave,2002,10,0.05268414449412874
wave,2002,11,0.14366765111962473
wave,2002,12,0.1813595424520003
wave,2003,1,0.21152276317000065
wave,2003,2,0.08710824427919163
wave,2003,3,0.06991106771157642
wave,2003,4,0.030298542514912246
wave,2003,5,0.00978153481510451
wave,2003,6,0.007944127516717437
wave,2003,7,0.016401461176964848
wave,2003,8,0.02825077145594777
wave,2003,9,0.01910314438622398
wave,2003,10,0.040093360793410616
wave,2003,11,0.07194167760426322
wave,2003,12,0.10191816866593857
wave,2004,1,0.13307991756975152
wave,2004,2,0.11066889300082138
wave,2004,3,0.03861834950596178
wave,2004,4,0.0340637261975709
wave,2004,5,0.008057909398489422
wave,2004,6,0.019938959100850005
wave,2004,7,0.010813983557588254
wave,2004,8,0.04861684415314721
wave,2004,9,0.03816124965619413
wave,2004,10,0.047376439409807826
wave,2004,11,0.04853425123250574
wave,2004,12,0.13048532093835213
wave,2005,1,0.1562113960597148
wave,2005,2,0.05691995197315074
wave,2005,3,0.06165194782286098
wave,2005,4,0.015585213675306749
wave,2005,5,0.0032040036049475772
wave,2005,6,0.005303123804239514
wave,2005,7,0.024828178238109358
wave,2005,8,0.040085470396858065
wave,2005,9,0.061552292818972044
wave,2005,10,0.04152707866323373
wave,2005,11,0.05765408711452765
wave,2005,12,0.15484922093808862
wave,2006,1,0.11993137555588963
wave,2006,2,0.11505701328814652
wave,2006,3,0.03473605915202776
wave,2006,4,0.02805504915125014
wave,2006,5,0.029574841692180685
wave,2006,6,0.010095085599612332
wave,2006,7,0.0253302018787211
wave,2006,8,0.011731230941303768
wave,2006,9,0.025026006810089287
wave,2006,10,0.02426825529198449
wave,2006,11,0.06348391612228052
wave,2006,12,0.18227678681094478
wave,2007,1,0.1406591461037563
wave,2007,2,0.1517564184668922
wave,2007,3,0.0931065827640425
wave,2007,4,0.029767861569951697
wave,2007,5,0.0124521291820191
wave,2007,6,0.021375601043149135
wave,2007,7,0.0648387798853839
wave,2007,8,0.020224350683653875
wave,2007,9,0.018243028447667828
wave,2007,10,0.029602848007257924
wave,2007,11,0.05543387277365534
wave,2007,12,0.10708905910802326
wave,2008,1,0.1391844932574978
wave,2008,2,0.09897139520992156
wave,2008,3,0.06435485455974843
wave,2008,4,0.01824134077157815
wave,2008,5,0.012473418242517091
wave,2008,6,0.007835268940755086
wave,2008,7,0.015972996891548484
wave,2008,8,0.024249037273982536
wave,2008,9,0.05195152741635952
wave,2008,10,0.022616400674272397
wave,2008,11,0.03856656112821135
wave,2008,12,0.1243859521038916
wave,2009,1,0.22079839580461932
wave,2009,2,0.08648422776492133
wave,2009,3,0.06126517155955773
wave,2009,4,0.02454090835009407
wave,2009,5,0.020752497325068973
wave,2009,6,0.03609153295083561
wave,2009,7,0.004838233877798952
wave,2009,8,0.043767328157504524
wave,2009,9,0.020958493612097766
wave,2009,10,0.05135667613371479
wave,2009,11,0.15692285440929912
wave,2009,12,0.14738788457613
wave,2010,1,0.12336671856871777
wave,2010,2,0.12365812581783522
wave,2010,3,0.06483752237306492
wave,2010,4,0.028731824715128956
wave,2010,5,0.014991882560080489
wave,2010,6,0.004750093112310376
wave,2010,7,0.005996224964225128
wave,2010,8,0.005138789205810238
wave,2010,9,0.033774964460639094
wave,2010,10,0.07318379473809063
wave,2010,11,0.06974598453746643
wave,2010,12,0.07664368162035637
wave,2011,1,0.11585003997220351
wave,2011,2,0.16380866176844852
wave,2011,3,0.03826447625243982
wave,2011,4,0.0323965834601051
wave,2011,5,0.013234305034389717
wave,2011,6,0.027287823167070974
wave,2011,7,0.030425514327769868
wave,2011,8,0.057115064430689186
wave,2011,9,0.0546822971348563
wave,2011,10,0.024076138832114066
wave,2011,11,0.06215976732220206
wave,2011,12,0.14440484131740375
wave,2012,1,0.12891703086858558
wave,2012,2,0.06865455510546525
wave,2012,3,0.030998606401494024
wave,2012,4,0.03738632765142654
wave,2012,5,0.0034188654192328525
wave,2012,6,0.020033254656616727
wave,2012,7,0.009874774677078221
wave,2012,8,0.04685898113166303
wave,2012,9,0.029787909489741797
wave,2012,10,0.040228666291107176
wave,2012,11,0.040669987706113776
wave,2012,12,0.10517595629066646
wave,2013,1,0.1322903910218842
wave,2013,2,0.13227627119923105
wave,2013,3,0.06738896318168547
wave,2013,4,0.030406504287835694
wave,2013,5,0.006053978018650793
wave,2013,6,0.01695499626276494
wave,2013,7,0.011404354258821246
wave,2013,8,0.024512079160306177
wave,2013,9,0.04817829892942458
wave,2013,10,0.08211829430073295
wave,2013,11,0.03699262782441438
wave,2013,12,0.21105666151638727
wave,2014,1,0.24494462471186576
wave,2014,2,0.2314438514356684
wave,2014,3,0.07963206701876412
wave,2014,4,0.023601508701969656
wave,2014,5,0.012430840121521111
wave,2014,6,0.033446888483308776
wave,2014,7,0.035104116821356175
wave,2014,8,0.030947132952736253
wave,2014,9,0.011706672042209086
wave,2014,10,0.08266081730592009
wave,2014,11,0.05782781410713054
wave,2014,12,0.12997332092551736
wave,2015,1,0.15320345357151016
wave,2015,2,0.08286135317744583
wave,2015,3,0.028987182295633986
wave,2015,4,0.021868265533579363
wave,2015,5,0.009054158581423166
wave,2015,6,0.020310316115838632
wave,2015,7,0.05298548605671047
wave,2015,8,0.03475140355798762
wave,2015,9,0.010466565889822078
wave,2015,10,0.05109473856766121
wave,2015,11,0.05659343810705739
wave,2015,12,0.16552748874915457
wave,2016,1,0.1754492640817364
wave,2016,2,0.16396985000996833
wave,2016,3,0.08161146025941188
wave,2016,4,0.03791690574217267
wave,2016,5,0.00817105681261763
wave,2016,6,0.005755305581313898
wave,2016,7,0.01883460747742221
wave,2016,8,0.013965265355343356
wave,2016,9,0.01659757024899635
wave,2016,10,0.05768220815102869
wave,2016,11,0.08125893052333386
wave,2016,12,0.11993626971778905
wave,2017,1,0.09289583569168029
wave,2017,2,0.1272633568259075
wave,2017,3,0.056669489886524434
wave,2017,4,0.025158342199189748
wave,2017,5,0.003781962173281914
wave,2017,6,0.034900277898832884
wave,2017,7,0.008093045759227337
wave,2017,8,0.02324058860176114
wave,2017,9,0.038987695575803234
wave,2017,10,0.09015162455499887
wave,2017,11,0.05548416216625092
wave,2017,12,0.11617646703712439
wave,2018,1,0.173329240761843
wave,2018,2,0.07310738820580659
wave,2018,3,0.07473257033040084
wave,2018,4,0.05332399741411009
wave,2018,5,0.012474600968100312
wave,2018,6,0.012910845554437844
wave,2018,7,0.01976547457538431
wave,2018,8,0.023720038909797035
wave,2018,9,0.06927103534433716
wave,2018,10,0.042345416721417686
wave,2018,11,0.0957771872353053
wave,2018,12,0.14836773580561816
wave,2019,1,0.10432814287178437
wave,2019,2,0.12048752067943216
wave,2019,3,0.07458684057145955
wave,2019,4,0.022486788331262518
wave,2019,5,0.002796357520597166
wave,2019,6,0.013893121266633245
wave,2019,7,0.028166028773083038
wave,2019,8,0.02771521526080129
wave,2019,9,0.021379150212449075
wave,2019,10,0.0684741226067298
wave,2019,11,0.06903943935223937
wave,2019,12,0.21376715124984913
wave,2020,1,0.13858038878010653
wave,2020,2,0.16004105810861258
wave,2020,3,0.026174143264292245
wave,2020,4,0.0225644666638354
wave,2020,5,0.014392587622224833
wave,2020,6,0.019348428631917117
wave,2020,7,0.035639507592159635
wave,2020,8,0.020686677766402775
wave,2020,9,0.03805542959664629
wave,2020,10,0.05851312268175496
wave,2020,11,0.057015702758934264
wave,2020,12,0.19148947198879934
wave,2021,1,0.15858106872122787
wave,2021,2,0.0844744138392001
wave,2021,3,0.053199041693775755
wave,2021,4,0.03426656025622395
wave,2021,5,0.004848780649347884
wave,2021,6,0.012232572888826267
wave,2021,7,0.03491111830695181
wave,2021,8,0.006211358891872297
wave,2021,9,0.0116507011016218
wave,2021,10,0.0467536871832301
wave,2021,11,0.02463639937923771
wave,2021,12,0.09037674671954996
wave,2022,1,0.14564966077191902
wave,2022,2,0.12559486476195236
wave,2022,3,0.05456418502768402
wave,2022,4,0.038570195985336946
wave,2022,5,0.007086497452803335
wave,2022,6,0.0075163387984707375
wave,2022,7,0.006090638775790327
wave,2022,8,0.016835409372597736
wave,2022,9,0.05902135684929081
wave,2022,10,0.024691084972286222
wave,2022,11,0.09517620821304748
wave,2022,12,0.0800824107324397
wave,2023,1,0.16199640873613863
wave,2023,2,0.08633387401783016
wave,2023,3,0.05383756799583609
wave,2023,4,0.012425455748262105
wave,2023,5,0.011468889980500798
wave,2023,6,0.02798866851398578
wave,2023,7,0.017735388040765535
wave,2023,8,0.04026362480463128
wave,2023,9,0.03475183228307653
wave,2023,10,0.05616392434514524
wave,2023,11,0.12978445384472798
wave,2023,12,0.11468301445803118
wave,2024,1,0.15400302944440597
wave,2024,2,0.1600424123925721
wave,2024,3,0.07910957860378438
wave,2024,4,0.019895090693083105
wave,2024,5,0.0030210753814092885
wave,2024,6,0.009336716322924777
wave,2024,7,0.04401731147381856
wave,2024,8,0.046273148232482395
wave,2024,9,0.01309938646229111
wave,2024,10,0.05791855910053068
wave,2024,11,0.046082955054582694
wave,2024,12,0.1391931295173587
wind,1980,1,0.03268193069715221
