scale,unit,var,model,ssp,year,E_annual
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2095,6.050703882015228
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2096,5.829321307411923
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2097,8.659028581874725
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2098,6.447193613260277
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2099,6.147987892822271
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2100,7.785524204195836
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2026,4.468137404269492
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2027,4.738090885082851
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2028,7.154203993742513
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2029,8.8079306071861
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2030,4.922501879049423
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2031,7.127856664024925
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2032,7.584902594103904
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2033,7.832795010867056
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2034,6.287281369979116
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2035,4.811851219858383
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2036,6.177362016778654
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2037,6.084181445141146
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2038,6.579092774289672
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2039,5.020517195847141
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2040,7.885550612467699
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2041,7.346679667661085
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2042,5.276921201778825
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2043,7.182338960325667
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2044,6.1416295935150185
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2045,7.407865602209236
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2046,5.530135901029268
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2047,6.328620472504248
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2048,7.578341154243619
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2049,6.274483515143368
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2050,5.945741158306551
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2051,6.705202429560167
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2052,6.460600889754708
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2053,4.296768033802062
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2054,6.650516992706459
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2055,6.476689621548465
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2056,5.612407824973438
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2057,4.753570195217551
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2058,5.528998313932732
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2059,4.287545452698184
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2060,4.512584557254577
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2061,8.182826497652794
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2062,5.676539297539209
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2063,5.115546346516507
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2064,4.310256566517789
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2065,5.760456659962303
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2066,5.928352326974332
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2067,7.80744306985914
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2068,5.993966725576749
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2069,3.9659536433253706
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2070,6.070144432932441
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2071,4.099274788225493
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2072,3.649237207223208
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2073,4.16685965019147
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2074,5.236719686350377
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2075,6.015560566355111
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2076,5.187153391430955
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2077,4.258130700631169
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2078,7.339772888860909
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2079,5.750705913420783
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2080,7.353180165355513
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2081,4.979584374428092
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2082,5.537591159322483
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2083,6.403071485159786
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2084,4.426087309809114
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2085,6.380096288621326
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2086,4.735815710889815
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2087,6.596705060230304
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2088,4.710646596379452
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2089,4.542019623376898
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2090,5.188859772075581
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2091,5.385418571108617
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2092,4.85038698275275
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2093,3.906352205090255
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2094,4.317854023198169
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2095,4.237999471834047
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2096,4.009141324882191
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2097,5.441972901049513
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2098,5.920693928128192
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2099,3.1302334084950023
corridor,NE_ASIA_LALB,wave,masnum,SSP5-8.5,2100,4.277043086110748
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2015,1.3959615658072222
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2016,1.4868872773069752
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2017,1.6382269892536816
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2018,1.5372864484935371
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2019,1.2603043045481583
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2020,1.9205314156862776
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2021,1.8848193064779368
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2022,1.7183456233365848
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2023,1.301196497856708
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2024,1.3065594084545618
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2025,1.727202551445152
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2026,1.7291730148087725
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2027,1.2637576939483093
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2028,1.4028074024416064
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2029,2.3142381213559373
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2030,1.661385012289807
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2031,1.2645296280495175
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2032,1.3908017957623553
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2033,1.185995490279594
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2034,1.410831454283061
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2035,1.591707802628452
corridor,NE_ASIA_LALB,wind,access_cm2,SSP1-2.6,2036,2.005444166818797
